ZIP	% of County Population	Type	Primary City	Acceptable Cities	Unacceptable Cities
98001	2%	Standard	Auburn	Algona, Federal Way	
98002	2%	Standard	Auburn		
98092	2%	Standard	Auburn		
98224	0.0%	PO Box	Baring		
98004	1%	Standard	Bellevue	Beaux Arts, Clyde Hill, Hunts Point, Yarrow Point	Beaux Arts Village
98005	0.9%	Standard	Bellevue		
98006	2%	Standard	Bellevue	Issaquah	Eastgate, Newport Hills
98007	1%	Standard	Bellevue		Eastgate
98008	1%	Standard	Bellevue		
98010	0.3%	Standard	Black Diamond		Morganville
98011	2%	Standard	Bothell		Inglewood, Queensgate
98014	0.4%	Standard	Carnation		Lake Joy
98019	0.6%	Standard	Duvall		
98022	1%	Standard	Enumclaw		Crystal Mountain, Cumberland, Greenwater, Krain, Osceola, Wabash
98024	0.3%	Standard	Fall City		Lake Alice, Spring Glen
98003	2%	Standard	Federal Way	Auburn	
98023	3%	Standard	Federal Way	Auburn	
98027	1%	Standard	Issaquah		Coal Creek, Pine Lake
98029	1%	Standard	Issaquah		
98028	1%	Standard	Kenmore	Bothell	
98030	2%	Standard	Kent		
98031	2%	Standard	Kent		
98032	2%	Standard	Kent		Midway, Woodmont Beach
98042	2%	Standard	Kent	Covington	Lake Sawyer
98033	2%	Standard	Kirkland		Houghton, Juanita, Totem Lake
98034	2%	Standard	Kirkland		Juanita, Kingsgate, Totem Lake
98038	2%	Standard	Maple Valley		Four Corners, Wilderness Village
98039	0.2%	Standard	Medina		
98040	1%	Standard	Mercer Island		
98354	0.0%	Standard	Milton		
98045	0.7%	Standard	North Bend		Cedar Falls, Denny Creek
98047	0.3%	Standard	Pacific	Auburn	
98050	0.0%	PO Box	Preston		
98051	0.2%	Standard	Ravensdale		Kanaskat, Palmer
98052	3%	Standard	Redmond		Adelaide, Ames Lake, Avondale, Earlmount
98053	1.0%	Standard	Redmond		
98055	1%	Standard	Renton		
98056	2%	Standard	Renton	Newcastle	Hazelwood, Highlands, Kennydale
98057	0.5%	Standard	Renton		
98058	2%	Standard	Renton		Cascade, Fairwood
98059	2%	Standard	Renton	Newcastle	
98074	1%	Standard	Sammamish	Redmond	
98075	1%	Standard	Sammamish	Issaquah	
98101	0.5%	Standard	Seattle		Times Square
98102	1%	Standard	Seattle		Broadway, Capitol Hill
98103	2%	Standard	Seattle		Greenwood, Wallingford
98104	0.7%	Standard	Seattle		International, Pioneer Square
98105	2%	Standard	Seattle		University
98106	1%	Standard	Seattle		White Center
98107	1%	Standard	Seattle		Ballard
98108	1%	Standard	Seattle	Tukwila	
98109	1%	Standard	Seattle		Queen Anne
98112	1%	Standard	Seattle		Madison Park
98115	2%	Standard	Seattle		Seattle Naval Support Activi, Wedgwood
98116	1%	Standard	Seattle		West Seattle
98117	2%	Standard	Seattle		Crown Hill
98118	2%	Standard	Seattle		Columbia
98119	1%	Standard	Seattle		Interbay
98121	0.7%	Standard	Seattle		
98122	2%	Standard	Seattle		East Union
98125	2%	Standard	Seattle		Lake City, Northgate
98126	1%	Standard	Seattle		Westwood Village
98133	2%	Standard	Seattle	Shoreline	Bitter Lake, Richmond Highlands
98134	0.0%	Standard	Seattle		
98136	0.8%	Standard	Seattle		Westwood
98144	1%	Standard	Seattle		Beacon Hill
98146	1%	Standard	Seattle	Burien	Shorewood, White Center
98148	0.5%	Standard	Seattle	Burien, Des Moines, Normandy Park, Seatac	
98154	0.0%	Standard	Seattle		
98155	2%	Standard	Seattle	Lake Forest Park, Lk Forest Pk, Shoreline	Forest Park, Lk Forest Park, North City
98158	0.0%	Standard	Seattle	Seatac	Seatac Airport
98164	0.0%	Standard	Seattle		
98166	1%	Standard	Seattle	Burien, Normandy Park	
98168	2%	Standard	Seattle	Burien, Seatac, Tukwila	
98174	0.0%	Standard	Seattle		
98177	1.0%	Standard	Seattle	Shoreline	Bitter Lake, Richmond Beach, The Highlands
98178	1%	Standard	Seattle	Tukwila	Bryn Mawr, Skyway
98188	1%	Standard	Seattle	Seatac, Tukwila	Duwamish, Mcmicken Heights, Riverton
98198	2%	Standard	Seattle	Des Moines, Normandy Park, Seatac	Redondo Beach
98199	1.0%	Standard	Seattle		Fort Lawton, Magnolia
98195	0.0%	Unique	Seattle		Univ Of Washington
98288	0.0%	PO Box	Skykomish		Grotto, Scenic
98065	0.7%	Standard	Snoqualmie		
98068	0.0%	PO Box	Snoqualmie Pass	Snoqualmie Ps	Alpental, Hyak, North Bend, Snoqualmie
98070	0.6%	Standard	Vashon		Dockton, Vashon Island
98072	1.0%	Standard	Woodinville		Cottage Lake
98077	0.7%	Standard	Woodinville		